Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Single-Family Attached	Fuel Oil	TX	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	TX	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Mobile Home	Fuel Oil	UT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	UT	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	UT	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	UT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	UT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Fuel Oil	VA	0.886718	0.0540447	0	0	0.0592374	0	0	4	32019.3	17	134731
Multi-Family with 2 - 4 Units	Fuel Oil	VA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	1	6177.65	115	843048
Multi-Family with 5+ Units	Fuel Oil	VA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	VA	0.851403	0.0708927	0	0	0.077704	0	0	0	0	13	102712
Single-Family Detached	Fuel Oil	VA	0.851403	0.0708927	0	0	0.077704	0	0	13	102712	13	102712
Mobile Home	Fuel Oil	VT	0.944994	0.0550061	0	0	0	0	0	16	19016.3	16	19016.3
Multi-Family with 2 - 4 Units	Fuel Oil	VT	0.457541	0.362845	0	0	0.179614	0	0	11	18511.7	11	18511.7
Multi-Family with 5+ Units	Fuel Oil	VT	0.365781	0.490627	0	0	0.143592	0	0	3	4643.86	14	23155.6
Single-Family Attached	Fuel Oil	VT	0.355103	0.46828	0	0	0.164665	0.0119518	0	2	1295.43	77	77155.2
Single-Family Detached	Fuel Oil	VT	0.361167	0.476277	0	0	0.1504	0.0121558	0	75	75859.8	75	75859.8
Mobile Home	Fuel Oil	WA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	WA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	WA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Single-Family Detached	Fuel Oil	WA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	1	5687.02	71	86994.4
Mobile Home	Fuel Oil	WI	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	WI	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WI	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	WI	0.823299	0.0979819	0	0	0.0787188	0	0	1	3080.8	18	184178
Single-Family Detached	Fuel Oil	WI	0.823299	0.0979819	0	0	0.0787188	0	0	4	26665.8	18	184178
Mobile Home	Fuel Oil	WV	0.86116	0.101978	0.0181	0	0.0187624	0	0	1	4062.6	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	WV	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WV	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	WV	0.86116	0.101978	0.0181	0	0.0187624	0	0	1	2849.67	70	425379
Single-Family Detached	Fuel Oil	WV	0.86116	0.101978	0.0181	0	0.0187624	0	0	3	11277.7	70	425379
Mobile Home	Fuel Oil	WY	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	WY	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WY	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	WY	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	WY	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Natural Gas	AK	0.0656804	0.0141532	0.920166	0	0	0	0	8	7745.95	162	118979
Multi-Family with 2 - 4 Units	Natural Gas	AK	0.168751	0	0.831249	0	0	0	0	13	14301.5	13	14301.5
Multi-Family with 5+ Units	Natural Gas	AK	0	0	1	0	0	0	0	11	12078.4	11	12078.4
Single-Family Attached	Natural Gas	AK	0.0995259	0	0.900474	0	0	0	0	33	18044.6	33	18044.6
Single-Family Detached	Natural Gas	AK	0.0561261	0.0180702	0.925804	0	0	0	0	121	93188.2	121	93188.2
Mobile Home	Natural Gas	AL	0.33276	0	0.66724	0	0	0	0	0	0	65	484665
Multi-Family with 2 - 4 Units	Natural Gas	AL	0.157086	0	0.842914	0	0	0	0	4	35824.4	31	211311
Multi-Family with 5+ Units	Natural Gas	AL	0.157086	0	0.842914	0	0	0	0	1	13569.5	31	211311
Single-Family Attached	Natural Gas	AL	0.33276	0	0.66724	0	0	0	0	4	12320.4	65	484665
Single-Family Detached	Natural Gas	AL	0.335162	0	0.664838	0	0	0	0	61	472345	61	472345
Mobile Home	Natural Gas	AR	0.250797	0	0.749203	0	0	0	0	1	4546.4	119	476956
Multi-Family with 2 - 4 Units	Natural Gas	AR	0.0851292	0	0.914871	0	0	0	0	2	7443.95	35	423287
Multi-Family with 5+ Units	Natural Gas	AR	0.0851292	0	0.914871	0	0	0	0	1	8934.78	35	423287
Single-Family Attached	Natural Gas	AR	0.253211	0	0.746789	0	0	0	0	8	18938.7	118	472410
Single-Family Detached	Natural Gas	AR	0.247473	0	0.752527	0	0	0	0	110	453471	110	453471
Mobile Home	Natural Gas	AZ	0.324706	0	0.675294	0	0	0	0	14	91567.6	14	91567.6
Multi-Family with 2 - 4 Units	Natural Gas	AZ	0.0745384	0	0.925462	0	0	0	0	0	0	41	287997
Multi-Family with 5+ Units	Natural Gas	AZ	0.0745384	0	0.925462	0	0	0	0	3	22575	41	287997
Single-Family Attached	Natural Gas	AZ	0.294908	0	0.705092	0	0	0	0	17	45006.6	17	45006.6
Single-Family Detached	Natural Gas	AZ	0.188439	0	0.811561	0	0	0	0	164	796045	164	796045
Mobile Home	Natural Gas	CA	0	0	1	0	0	0	0	27	318057	27	318057
Multi-Family with 2 - 4 Units	Natural Gas	CA	0.112003	0	0.887997	0	0	0	0	34	534670	34	534670
Multi-Family with 5+ Units	Natural Gas	CA	0.0874486	0	0.912551	0	0	0	0	68	1.00856e+06	68	1.00856e+06
Single-Family Attached	Natural Gas	CA	0.0917613	0	0.908239	0	0	0	0	88	611904	88	611904
Single-Family Detached	Natural Gas	CA	0.074313	0	0.925687	0	0	0	0	559	5.96578e+06	559	5.96578e+06
Mobile Home	Natural Gas	CO	0.277834	0	0.662734	0	0.0594317	0	0	15	89898.6	15	89898.6
Multi-Family with 2 - 4 Units	Natural Gas	CO	0.090296	0.0333041	0.8764	0	0	0	0	6	59697.6	33	274415
Multi-Family with 5+ Units	Natural Gas	CO	0.0707256	0	0.929274	0	0	0	0	27	214718	27	214718
Single-Family Attached	Natural Gas	CO	0.0615625	0	0.938437	0	0	0	0	30	124565	30	124565
Single-Family Detached	Natural Gas	CO	0.0866211	0	0.913379	0	0	0	0	208	1.23603e+06	208	1.23603e+06
Mobile Home	Natural Gas	CT	0.167137	0	0.832863	0	0	0	0	0	0	69	268643
Multi-Family with 2 - 4 Units	Natural Gas	CT	0.171077	0	0.828923	0	0	0	0	12	97970.5	12	97970.5
Multi-Family with 5+ Units	Natural Gas	CT	0.149439	0	0.850561	0	0	0	0	19	131161	19	131161
Single-Family Attached	Natural Gas	CT	0.188166	0	0.811834	0	0	0	0	17	43915.1	17	43915.1
Single-Family Detached	Natural Gas	CT	0.163028	0	0.836972	0	0	0	0	52	224728	52	224728
Mobile Home	Natural Gas	DC	0.291231	0.0172132	0.691556	0	0	0	0	0	0	66	71866.1
Multi-Family with 2 - 4 Units	Natural Gas	DC	0.161389	0	0.838611	0	0	0	0	12	17476.1	12	17476.1
Multi-Family with 5+ Units	Natural Gas	DC	0.189015	0	0.810985	0	0	0	0	51	86690.5	51	86690.5
Single-Family Attached	Natural Gas	DC	0.321844	0	0.678156	0	0	0	0	45	45110	45	45110
Single-Family Detached	Natural Gas	DC	0.239618	0.0462342	0.714148	0	0	0	0	21	26756.1	21	26756.1
Mobile Home	Natural Gas	DE	0.379555	0	0.620445	0	0	0	0	1	2905.14	56	135346
Multi-Family with 2 - 4 Units	Natural Gas	DE	0.286254	0	0.713746	0	0	0	0	2	6872.57	165	1.04058e+06
Multi-Family with 5+ Units	Natural Gas	DE	0.286254	0	0.713746	0	0	0	0	4	15082.2	165	1.04058e+06
Single-Family Attached	Natural Gas	DE	0.365946	0	0.634054	0	0	0	0	9	19572.7	55	132441
Single-Family Detached	Natural Gas	DE	0.334865	0	0.665135	0	0	0	0	46	112869	46	112869
Mobile Home	Natural Gas	FL	0.180902	0	0.819098	0	0	0	0	0	0	30	303933
Multi-Family with 2 - 4 Units	Natural Gas	FL	0.286254	0	0.713746	0	0	0	0	2	24834.5	165	1.04058e+06
Multi-Family with 5+ Units	Natural Gas	FL	0.286254	0	0.713746	0	0	0	0	6	92073.9	165	1.04058e+06
Single-Family Attached	Natural Gas	FL	0.180902	0	0.819098	0	0	0	0	1	7377.43	30	303933
Single-Family Detached	Natural Gas	FL	0.185403	0	0.814597	0	0	0	0	29	296555	29	296555
Mobile Home	Natural Gas	GA	0.264916	0	0.735084	0	0	0	0	2	24110.8	179	1.55519e+06
Multi-Family with 2 - 4 Units	Natural Gas	GA	0.283869	0	0.716131	0	0	0	0	8	82998.8	21	251660
Multi-Family with 5+ Units	Natural Gas	GA	0.30064	0	0.69936	0	0	0	0	13	168661	13	168661
Single-Family Attached	Natural Gas	GA	0.163894	0	0.836106	0	0	0	0	15	99822	15	99822
Single-Family Detached	Natural Gas	GA	0.259579	0	0.740421	0	0	0	0	162	1.43126e+06	162	1.43126e+06
Mobile Home	Natural Gas	HI	0.0945792	0.000193938	0.905227	0	0	0	0	0	0	1140	8.68284e+06
Multi-Family with 2 - 4 Units	Natural Gas	HI	0.115863	0	0.884137	0	0	0	0	0	0	140	1.67345e+06
Multi-Family with 5+ Units	Natural Gas	HI	0.115863	0	0.884137	0	0	0	0	0	0	140	1.67345e+06
Single-Family Attached	Natural Gas	HI	0.0945792	0.000193938	0.905227	0	0	0	0	0	0	1140	8.68284e+06
Single-Family Detached	Natural Gas	HI	0.0945792	0.000193938	0.905227	0	0	0	0	1	1622.5	1140	8.68284e+06
Mobile Home	Natural Gas	IA	0.201004	0	0.793936	0	0.00505968	0	0	8	44824.2	187	791978
Multi-Family with 2 - 4 Units	Natural Gas	IA	0	0	1	0	0	0	0	3	15123.7	15	114151
Multi-Family with 5+ Units	Natural Gas	IA	0	0	1	0	0	0	0	12	99026.8	12	99026.8
Single-Family Attached	Natural Gas	IA	0.122224	0	0.877776	0	0	0	0	17	55412.3	17	55412.3
Single-Family Detached	Natural Gas	IA	0.22034	0	0.773867	0	0.00579285	0	0	162	691741	162	691741
Mobile Home	Natural Gas	ID	0.221568	0	0.778432	0	0	0	0	7	15671.3	167	374475
Multi-Family with 2 - 4 Units	Natural Gas	ID	0.109385	0.0198836	0.844296	0	0.026435	0	0	2	8859	67	459633
Multi-Family with 5+ Units	Natural Gas	ID	0.109385	0.0198836	0.844296	0	0.026435	0	0	5	17518.6	67	459633
Single-Family Attached	Natural Gas	ID	0.219463	0	0.780537	0	0	0	0	9	17060.2	160	358804
Single-Family Detached	Natural Gas	ID	0.213943	0	0.786057	0	0	0	0	151	341744	151	341744
Mobile Home	Natural Gas	IL	0.139615	0	0.860385	0	0	0	0	6	57605.3	339	2.70689e+06
Multi-Family with 2 - 4 Units	Natural Gas	IL	0.167632	0	0.832368	0	0	0	0	26	422227	26	422227
Multi-Family with 5+ Units	Natural Gas	IL	0.204305	0	0.795695	0	0	0	0	60	710015	60	710015
Single-Family Attached	Natural Gas	IL	0.11981	0	0.88019	0	0	0	0	56	252102	56	252102
Single-Family Detached	Natural Gas	IL	0.136625	0	0.863375	0	0	0	0	277	2.39718e+06	277	2.39718e+06
Mobile Home	Natural Gas	IN	0.26871	0	0.729209	0	0.0020812	0	0	8	49824	249	1.52797e+06
Multi-Family with 2 - 4 Units	Natural Gas	IN	0.106644	0	0.893356	0	0	0	0	7	92408.1	13	157130
Multi-Family with 5+ Units	Natural Gas	IN	0.106644	0	0.893356	0	0	0	0	6	64722.4	13	157130
Single-Family Attached	Natural Gas	IN	0.295675	0	0.665461	0	0.0388639	0	0	26	81824	26	81824
Single-Family Detached	Natural Gas	IN	0.250186	0	0.749814	0	0	0	0	215	1.39632e+06	215	1.39632e+06
Mobile Home	Natural Gas	KS	0.163905	0	0.836095	0	0	0	0	3	20007.3	145	720730
Multi-Family with 2 - 4 Units	Natural Gas	KS	0.0988844	0	0.901116	0	0	0	0	4	30739.3	10	80264
Multi-Family with 5+ Units	Natural Gas	KS	0.0988844	0	0.901116	0	0	0	0	6	49524.7	10	80264
Single-Family Attached	Natural Gas	KS	0.280991	0	0.719009	0	0	0	0	13	46530.8	13	46530.8
Single-Family Detached	Natural Gas	KS	0.148832	0	0.851168	0	0	0	0	129	654192	129	654192
Mobile Home	Natural Gas	KY	0.287424	0	0.712576	0	0	0	0	2	9613.58	173	673991
Multi-Family with 2 - 4 Units	Natural Gas	KY	0.0680044	0	0.931996	0	0	0	0	5	21302.9	15	81745.5
Multi-Family with 5+ Units	Natural Gas	KY	0.0919724	0	0.908028	0	0	0	0	10	60442.6	10	60442.6
Single-Family Attached	Natural Gas	KY	0.37214	0	0.62786	0	0	0	0	18	29638.9	18	29638.9
Single-Family Detached	Natural Gas	KY	0.278528	0	0.721472	0	0	0	0	153	634738	153	634738
Mobile Home	Natural Gas	LA	0.14005	0	0.85995	0	0	0	0	5	28921.3	109	563702
Multi-Family with 2 - 4 Units	Natural Gas	LA	0.0851292	0	0.914871	0	0	0	0	1	4061.07	35	423287
Multi-Family with 5+ Units	Natural Gas	LA	0.0851292	0	0.914871	0	0	0	0	1	9111.08	35	423287
Single-Family Attached	Natural Gas	LA	0.11607	0	0.88393	0	0	0	0	6	15298.2	104	534781
Single-Family Detached	Natural Gas	LA	0.113984	0	0.886016	0	0	0	0	98	519482	98	519482
Mobile Home	Natural Gas	MA	0.109776	0.00715649	0.883068	0	0	0	0	0	0	201	793810
Multi-Family with 2 - 4 Units	Natural Gas	MA	0.105439	0	0.894561	0	0	0	0	54	440883	54	440883
Multi-Family with 5+ Units	Natural Gas	MA	0.11509	0	0.88491	0	0	0	0	33	216009	33	216009
Single-Family Attached	Natural Gas	MA	0.167355	0.0229743	0.80967	0	0	0	0	44	109637	44	109637
Single-Family Detached	Natural Gas	MA	0.100549	0.00462173	0.89483	0	0	0	0	157	684174	157	684174
Mobile Home	Natural Gas	MD	0.214197	0	0.785803	0	0	0	0	1	6763.98	150	846221
Multi-Family with 2 - 4 Units	Natural Gas	MD	0.200547	0	0.799453	0	0	0	0	10	77335.8	10	77335.8
Multi-Family with 5+ Units	Natural Gas	MD	0.382329	0	0.617671	0	0	0	0	20	184567	20	184567
Single-Family Attached	Natural Gas	MD	0.342705	0	0.657295	0	0	0	0	53	241566	53	241566
Single-Family Detached	Natural Gas	MD	0.153387	0	0.846613	0	0	0	0	96	597891	96	597891
Mobile Home	Natural Gas	ME	0.258962	0.101403	0.609582	0.0300532	0	0	0	3	7849.9	21	43927.8
Multi-Family with 2 - 4 Units	Natural Gas	ME	0.142592	0	0.857408	0	0	0	0	5	21472.8	14	54854.2
Multi-Family with 5+ Units	Natural Gas	ME	0.142592	0	0.857408	0	0	0	0	9	33381.4	14	54854.2
Single-Family Attached	Natural Gas	ME	0.0977257	0.123467	0.742216	0.0365922	0	0	0	4	4983.15	18	36077.9
Single-Family Detached	Natural Gas	ME	0.0781033	0.143253	0.778644	0	0	0	0	14	31094.8	14	31094.8
Mobile Home	Natural Gas	MI	0.277614	0	0.722386	0	0	0	0	13	118887	13	118887
Multi-Family with 2 - 4 Units	Natural Gas	MI	0	0	1	0	0	0	0	12	194405	12	194405
Multi-Family with 5+ Units	Natural Gas	MI	0.216182	0	0.783818	0	0	0	0	16	211209	16	211209
Single-Family Attached	Natural Gas	MI	0.185254	0	0.814746	0	0	0	0	39	194383	39	194383
Single-Family Detached	Natural Gas	MI	0.158892	0.00455122	0.836557	0	0	0	0	228	2.2899e+06	228	2.2899e+06
Mobile Home	Natural Gas	MN	0.139271	0	0.854676	0	0.00605286	0	0	3	19763.2	197	1.21671e+06
Multi-Family with 2 - 4 Units	Natural Gas	MN	0.116119	0	0.883881	0	0	0	0	9	74806.2	30	301011
Multi-Family with 5+ Units	Natural Gas	MN	0.119149	0	0.880851	0	0	0	0	21	226205	21	226205
Single-Family Attached	Natural Gas	MN	0.032199	0	0.967801	0	0	0	0	27	114220	27	114220
Single-Family Detached	Natural Gas	MN	0.147176	0	0.846022	0	0.00680188	0	0	167	1.08272e+06	167	1.08272e+06
Mobile Home	Natural Gas	MO	0.174789	0	0.825211	0	0	0	0	2	19370.5	166	1.26469e+06
Multi-Family with 2 - 4 Units	Natural Gas	MO	0.118611	0	0.881389	0	0	0	0	9	105687	15	173526
Multi-Family with 5+ Units	Natural Gas	MO	0.118611	0	0.881389	0	0	0	0	6	67838.6	15	173526
Single-Family Attached	Natural Gas	MO	0.24958	0	0.75042	0	0	0	0	13	68847.7	13	68847.7
Single-Family Detached	Natural Gas	MO	0.165732	0	0.834268	0	0	0	0	151	1.17647e+06	151	1.17647e+06
Mobile Home	Natural Gas	MS	0.241537	0	0.758463	0	0	0	0	4	22186.1	58	336322
Multi-Family with 2 - 4 Units	Natural Gas	MS	0.157086	0	0.842914	0	0	0	0	0	0	31	211311
Multi-Family with 5+ Units	Natural Gas	MS	0.157086	0	0.842914	0	0	0	0	1	7474.34	31	211311
Single-Family Attached	Natural Gas	MS	0.225556	0	0.774444	0	0	0	0	5	11754.3	54	314136
Single-Family Detached	Natural Gas	MS	0.226042	0	0.773958	0	0	0	0	49	302382	49	302382
Mobile Home	Natural Gas	MT	0.115475	0	0.884525	0	0	0	0	10	20924.6	10	20924.6
Multi-Family with 2 - 4 Units	Natural Gas	MT	0.109385	0.0198836	0.844296	0	0.026435	0	0	4	17622.2	67	459633
Multi-Family with 5+ Units	Natural Gas	MT	0.109385	0.0198836	0.844296	0	0.026435	0	0	3	13145.5	67	459633
Single-Family Attached	Natural Gas	MT	0.145838	0	0.854162	0	0	0	0	6	12015.5	89	202767
Single-Family Detached	Natural Gas	MT	0.143476	0	0.856524	0	0	0	0	83	190751	83	190751
Mobile Home	Natural Gas	NC	0.321404	0	0.678596	0	0	0	0	0	0	149	1.13092e+06
Multi-Family with 2 - 4 Units	Natural Gas	NC	0.286254	0	0.713746	0	0	0	0	1	9190.59	165	1.04058e+06
Multi-Family with 5+ Units	Natural Gas	NC	0.286254	0	0.713746	0	0	0	0	2	21256.5	165	1.04058e+06
Single-Family Attached	Natural Gas	NC	0.228117	0	0.771883	0	0	0	0	23	124333	23	124333
Single-Family Detached	Natural Gas	NC	0.332927	0	0.667073	0	0	0	0	126	1.00659e+06	126	1.00659e+06
Mobile Home	Natural Gas	ND	0.300512	0	0.699488	0	0	0	0	5	4703	146	121477
Multi-Family with 2 - 4 Units	Natural Gas	ND	0.163813	0	0.836187	0	0	0	0	6	6460.71	18	22828.9
Multi-Family with 5+ Units	Natural Gas	ND	0.16498	0	0.83502	0	0	0	0	12	16368.2	12	16368.2
Single-Family Attached	Natural Gas	ND	0.536053	0	0.463947	0	0	0	0	24	14025.2	24	14025.2
Single-Family Detached	Natural Gas	ND	0.263397	0	0.736603	0	0	0	0	117	102749	117	102749
Mobile Home	Natural Gas	NE	0.125759	0	0.874241	0	0	0	0	3	16540.6	117	422778
Multi-Family with 2 - 4 Units	Natural Gas	NE	0.0558152	0	0.944185	0	0	0	0	3	12470	17	107280
Multi-Family with 5+ Units	Natural Gas	NE	0.0631564	0	0.936844	0	0	0	0	14	94809.8	14	94809.8
Single-Family Attached	Natural Gas	NE	0.101231	0	0.898769	0	0	0	0	7	15913.5	114	406237
Single-Family Detached	Natural Gas	NE	0.105359	0	0.894641	0	0	0	0	107	390324	107	390324
Mobile Home	Natural Gas	NH	0.296737	0.0429505	0.660313	0	0	0	0	2	6925.02	27	72117.1
Multi-Family with 2 - 4 Units	Natural Gas	NH	0.135288	0.045772	0.81894	0	0	0	0	4	16806.1	20	81018.6
Multi-Family with 5+ Units	Natural Gas	NH	0.170697	0.0577517	0.771552	0	0	0	0	16	64212.6	16	64212.6
Single-Family Attached	Natural Gas	NH	0.222033	0.0475129	0.730455	0	0	0	0	7	12069	25	65192.1
Single-Family Detached	Natural Gas	NH	0.243289	0.0583073	0.698404	0	0	0	0	18	53123.1	18	53123.1
Mobile Home	Natural Gas	NJ	0.10941	0.00404724	0.886543	0	0	0	0	3	20299.7	286	1.8406e+06
Multi-Family with 2 - 4 Units	Natural Gas	NJ	0.0980355	0	0.901965	0	0	0	0	32	392927	32	392927
Multi-Family with 5+ Units	Natural Gas	NJ	0.124061	0	0.875939	0	0	0	0	34	316542	34	316542
Single-Family Attached	Natural Gas	NJ	0.0906317	0	0.909368	0	0	0	0	50	309053	50	309053
Single-Family Detached	Natural Gas	NJ	0.105434	0.00492927	0.889637	0	0	0	0	233	1.51125e+06	233	1.51125e+06
Mobile Home	Natural Gas	NM	0.217332	0	0.710011	0	0.0726574	0	0	13	62951.9	13	62951.9
Multi-Family with 2 - 4 Units	Natural Gas	NM	0.06092	0	0.93908	0	0	0	0	7	49006.6	16	101463
Multi-Family with 5+ Units	Natural Gas	NM	0.06092	0	0.93908	0	0	0	0	9	52455.9	16	101463
Single-Family Attached	Natural Gas	NM	0.285168	0	0.714832	0	0	0	0	11	24704.5	11	24704.5
Single-Family Detached	Natural Gas	NM	0.117682	0	0.882318	0	0	0	0	98	407786	98	407786
Mobile Home	Natural Gas	NV	0.11059	0	0.88941	0	0	0	0	4	24613.1	145	616521
Multi-Family with 2 - 4 Units	Natural Gas	NV	0.0932288	0	0.906771	0	0	0	0	5	36332.3	22	163959
Multi-Family with 5+ Units	Natural Gas	NV	0.119769	0	0.880231	0	0	0	0	17	127627	17	127627
Single-Family Attached	Natural Gas	NV	0.121901	0	0.878099	0	0	0	0	19	48885.6	19	48885.6
Single-Family Detached	Natural Gas	NV	0.114584	0	0.885416	0	0	0	0	122	543023	122	543023
Mobile Home	Natural Gas	NY	0.116888	0.00450493	0.869795	0	0.00613551	0.00267659	0	5	34225.8	357	2.2797e+06
Multi-Family with 2 - 4 Units	Natural Gas	NY	0.0876562	0	0.895076	0	0	0.0172677	0	70	846693	70	846693
Multi-Family with 5+ Units	Natural Gas	NY	0.122286	0.0418651	0.835848	0	0	0	0	129	1.44369e+06	129	1.44369e+06
Single-Family Attached	Natural Gas	NY	0.156977	0	0.834624	0	0.00839839	0	0	58	370375	58	370375
Single-Family Detached	Natural Gas	NY	0.104063	0.00547699	0.881405	0	0.00580053	0.00325413	0	294	1.8751e+06	294	1.8751e+06
Mobile Home	Natural Gas	OH	0.146264	0	0.853736	0	0	0	0	5	81633.7	206	2.65044e+06
Multi-Family with 2 - 4 Units	Natural Gas	OH	0.169416	0	0.830584	0	0	0	0	4	87858.1	19	383017
Multi-Family with 5+ Units	Natural Gas	OH	0.219845	0	0.780155	0	0	0	0	15	295159	15	295159
Single-Family Attached	Natural Gas	OH	0.15614	0	0.84386	0	0	0	0	23	156938	23	156938
Single-Family Detached	Natural Gas	OH	0.13485	0	0.86515	0	0	0	0	178	2.41187e+06	178	2.41187e+06
Mobile Home	Natural Gas	OK	0.154515	0	0.845485	0	0	0	0	5	42931.7	125	747216
Multi-Family with 2 - 4 Units	Natural Gas	OK	0.0851292	0	0.914871	0	0	0	0	1	7846.8	35	423287
Multi-Family with 5+ Units	Natural Gas	OK	0.0851292	0	0.914871	0	0	0	0	2	19543.6	35	423287
Single-Family Attached	Natural Gas	OK	0.124986	0	0.875014	0	0	0	0	9	24429.7	120	704284
Single-Family Detached	Natural Gas	OK	0.129477	0	0.870523	0	0	0	0	111	679855	111	679855
Mobile Home	Natural Gas	OR	0.269953	0	0.730047	0	0	0	0	0	0	133	651539
Multi-Family with 2 - 4 Units	Natural Gas	OR	0.116254	0	0.883746	0	0	0	0	1	5915.25	116	1.64707e+06
Multi-Family with 5+ Units	Natural Gas	OR	0.116254	0	0.883746	0	0	0	0	4	27266.5	116	1.64707e+06
Single-Family Attached	Natural Gas	OR	0.269953	0	0.730047	0	0	0	0	7	22532.6	133	651539
Single-Family Detached	Natural Gas	OR	0.279624	0	0.720376	0	0	0	0	126	629007	126	629007
Mobile Home	Natural Gas	PA	0.150779	0.0116759	0.837545	0	0	0	0	3	28505.5	274	2.1868e+06
Multi-Family with 2 - 4 Units	Natural Gas	PA	0.104316	0	0.851255	0	0	0.0444296	0	19	223148	19	223148
Multi-Family with 5+ Units	Natural Gas	PA	0.191717	0	0.808283	0	0	0	0	22	233161	22	233161
Single-Family Attached	Natural Gas	PA	0.148288	0	0.851712	0	0	0	0	78	604498	78	604498
Single-Family Detached	Natural Gas	PA	0.136169	0.0164326	0.847399	0	0	0	0	193	1.5538e+06	193	1.5538e+06
Mobile Home	Natural Gas	RI	0.112488	0	0.887512	0	0	0	0	0	0	70	132463
Multi-Family with 2 - 4 Units	Natural Gas	RI	0.0802927	0	0.919707	0	0	0	0	12	45445.3	12	45445.3
Multi-Family with 5+ Units	Natural Gas	RI	0.0804497	0	0.91955	0	0	0	0	14	42706.3	14	42706.3
Single-Family Attached	Natural Gas	RI	0.112488	0	0.887512	0	0	0	0	8	9973.95	70	132463
Single-Family Detached	Natural Gas	RI	0.101283	0	0.898717	0	0	0	0	62	122489	62	122489
Mobile Home	Natural Gas	SC	0.427054	0	0.572946	0	0	0	0	4	29539.8	93	510761
Multi-Family with 2 - 4 Units	Natural Gas	SC	0.286254	0	0.713746	0	0	0	0	1	5833.85	165	1.04058e+06
Multi-Family with 5+ Units	Natural Gas	SC	0.286254	0	0.713746	0	0	0	0	4	27955.2	165	1.04058e+06
Single-Family Attached	Natural Gas	SC	0.407307	0	0.592693	0	0	0	0	6	24760.5	89	481221
Single-Family Detached	Natural Gas	SC	0.393986	0	0.606014	0	0	0	0	83	456461	83	456461
Mobile Home	Natural Gas	SD	0.252931	0	0.747069	0	0	0	0	4	7866.12	101	166568
Multi-Family with 2 - 4 Units	Natural Gas	SD	0.165847	0	0.834153	0	0	0	0	3	7253.49	11	32886.6
Multi-Family with 5+ Units	Natural Gas	SD	0.165847	0	0.834153	0	0	0	0	8	25633.1	11	32886.6
Single-Family Attached	Natural Gas	SD	0.263232	0	0.736768	0	0	0	0	12	14276.1	12	14276.1
Single-Family Detached	Natural Gas	SD	0.237759	0	0.762241	0	0	0	0	85	144426	85	144426
