Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
150-200%	Single-Family Detached	MI	Owner	0.62251	0.37749	0	29	219951	29	219951
150-200%	Single-Family Detached	MI	Renter	0.165003	0.834997	0	5	37840.2	22	117391
200-300%	Single-Family Detached	MI	Not Available	0	0	1	77	425898	77	425898
200-300%	Single-Family Detached	MI	Owner	0.506153	0.493847	0	76	423384	76	423384
200-300%	Single-Family Detached	MI	Renter	0.376644	0.623356	0	1	2513.47	37	240000
300-400%	Single-Family Detached	MI	Not Available	0	0	1	80	464782	80	464782
300-400%	Single-Family Detached	MI	Owner	0.514533	0.485467	0	80	464782	80	464782
300-400%	Single-Family Detached	MI	Renter	0.343082	0.656918	0	0	0	17	96374.3
400%+	Single-Family Detached	MI	Not Available	0	0	1	149	1.22565e+06	149	1.22565e+06
400%+	Single-Family Detached	MI	Owner	0.424624	0.575376	0	147	1.20868e+06	147	1.20868e+06
400%+	Single-Family Detached	MI	Renter	0.422624	0.577376	0	2	16972.9	20	149321
Not Available	Single-Family Detached	MI	Not Available	0.464775	0.535225	0	277	2.79922e+06	277	2.79922e+06
Not Available	Single-Family Detached	MI	Owner	0	0	1	259	2.60216e+06	259	2.60216e+06
Not Available	Single-Family Detached	MI	Renter	0	0	1	18	197056	18	197056
0-100%	Single-Family Detached	MN	Not Available	0	0	1	11	64943.5	11	64943.5
0-100%	Single-Family Detached	MN	Owner	0.5994	0.4006	0	10	57455.5	10	57455.5
0-100%	Single-Family Detached	MN	Renter	0.214057	0.785943	0	1	7487.95	23	138796
100-150%	Single-Family Detached	MN	Not Available	0	0	1	11	41313.8	11	41313.8
100-150%	Single-Family Detached	MN	Owner	0.753017	0.246983	0	11	41313.8	11	41313.8
100-150%	Single-Family Detached	MN	Renter	0.591788	0.408212	0	0	0	19	67403.3
150-200%	Single-Family Detached	MN	Not Available	0	0	1	28	112755	28	112755
150-200%	Single-Family Detached	MN	Owner	0.845387	0.154613	0	24	103395	24	103395
150-200%	Single-Family Detached	MN	Renter	0.500407	0.499593	0	4	9359.7	26	60437.8
200-300%	Single-Family Detached	MN	Not Available	0	0	1	69	259442	69	259442
200-300%	Single-Family Detached	MN	Owner	0.641478	0.358522	0	61	212311	61	212311
200-300%	Single-Family Detached	MN	Renter	0.604914	0.395086	0	8	47130.8	33	117695
300-400%	Single-Family Detached	MN	Not Available	0	0	1	65	252413	65	252413
300-400%	Single-Family Detached	MN	Owner	0.603812	0.396188	0	63	245452	63	245452
300-400%	Single-Family Detached	MN	Renter	0.615094	0.384906	0	2	6961.02	19	48244.8
400%+	Single-Family Detached	MN	Not Available	0	0	1	147	832666	147	832666
400%+	Single-Family Detached	MN	Owner	0.642073	0.357927	0	142	800903	142	800903
400%+	Single-Family Detached	MN	Renter	0.431134	0.568866	0	5	31763.5	34	133773
Not Available	Single-Family Detached	MN	Not Available	0.657164	0.342836	0	240	1.56353e+06	240	1.56353e+06
Not Available	Single-Family Detached	MN	Owner	0	0	1	225	1.46083e+06	225	1.46083e+06
Not Available	Single-Family Detached	MN	Renter	0	0	1	15	102703	15	102703
0-100%	Single-Family Detached	MO	Not Available	0	0	1	25	215873	25	215873
0-100%	Single-Family Detached	MO	Owner	0.585902	0.414098	0	15	124727	15	124727
0-100%	Single-Family Detached	MO	Renter	0.206064	0.793936	0	10	91145.5	10	91145.5
100-150%	Single-Family Detached	MO	Not Available	0	0	1	21	103049	21	103049
100-150%	Single-Family Detached	MO	Owner	0.712357	0.287643	0	15	66504.4	15	66504.4
100-150%	Single-Family Detached	MO	Renter	0.591788	0.408212	0	6	36544.3	19	67403.3
150-200%	Single-Family Detached	MO	Not Available	0	0	1	32	151347	32	151347
150-200%	Single-Family Detached	MO	Owner	0.522595	0.477405	0	29	137542	29	137542
150-200%	Single-Family Detached	MO	Renter	0.500407	0.499593	0	3	13805.6	26	60437.8
200-300%	Single-Family Detached	MO	Not Available	0	0	1	60	274714	60	274714
200-300%	Single-Family Detached	MO	Owner	0.641754	0.358246	0	55	243338	55	243338
200-300%	Single-Family Detached	MO	Renter	0.604914	0.395086	0	5	31375.7	33	117695
300-400%	Single-Family Detached	MO	Not Available	0	0	1	52	252996	52	252996
300-400%	Single-Family Detached	MO	Owner	0.762903	0.237097	0	49	241031	49	241031
300-400%	Single-Family Detached	MO	Renter	0.615094	0.384906	0	3	11964.8	19	48244.8
400%+	Single-Family Detached	MO	Not Available	0	0	1	116	734030	116	734030
400%+	Single-Family Detached	MO	Owner	0.562785	0.437215	0	112	704362	112	704362
400%+	Single-Family Detached	MO	Renter	0.431134	0.568866	0	4	29668	34	133773
Not Available	Single-Family Detached	MO	Not Available	0.575736	0.424264	0	221	1.73201e+06	221	1.73201e+06
Not Available	Single-Family Detached	MO	Owner	0	0	1	197	1.5175e+06	197	1.5175e+06
Not Available	Single-Family Detached	MO	Renter	0	0	1	24	214504	24	214504
0-100%	Single-Family Detached	MS	Not Available	0	0	1	20	105183	20	105183
0-100%	Single-Family Detached	MS	Owner	0.714989	0.285011	0	11	53958.7	11	53958.7
0-100%	Single-Family Detached	MS	Renter	0.39553	0.60447	0	9	51224.7	48	242595
100-150%	Single-Family Detached	MS	Not Available	0	0	1	18	78831.6	18	78831.6
100-150%	Single-Family Detached	MS	Owner	0.843269	0.156731	0	15	64424.3	15	64424.3
100-150%	Single-Family Detached	MS	Renter	0.360784	0.639216	0	3	14407.2	33	133796
150-200%	Single-Family Detached	MS	Not Available	0	0	1	16	55906.5	16	55906.5
150-200%	Single-Family Detached	MS	Owner	0.456323	0.543677	0	14	48904.2	14	48904.2
150-200%	Single-Family Detached	MS	Renter	0.235135	0.764865	0	2	7002.25	18	50842.3
200-300%	Single-Family Detached	MS	Not Available	0	0	1	34	133000	34	133000
200-300%	Single-Family Detached	MS	Owner	0.601187	0.398813	0	30	121461	30	121461
200-300%	Single-Family Detached	MS	Renter	0.132679	0.867321	0	4	11539.2	28	109522
300-400%	Single-Family Detached	MS	Not Available	0	0	1	28	110002	28	110002
300-400%	Single-Family Detached	MS	Owner	0.622025	0.377975	0	26	99488.6	26	99488.6
300-400%	Single-Family Detached	MS	Renter	0.399468	0.600532	0	2	10513.8	12	46477.4
400%+	Single-Family Detached	MS	Not Available	0	0	1	50	234266	50	234266
400%+	Single-Family Detached	MS	Owner	0.587997	0.412003	0	47	217883	47	217883
400%+	Single-Family Detached	MS	Renter	0.16829	0.83171	0	3	16382.6	25	116809
Not Available	Single-Family Detached	MS	Not Available	0.583638	0.416362	0	116	717189	116	717189
Not Available	Single-Family Detached	MS	Owner	0	0	1	99	606120	99	606120
Not Available	Single-Family Detached	MS	Renter	0	0	1	17	111070	17	111070
0-100%	Single-Family Detached	MT	Not Available	0	0	1	11	22742.4	11	22742.4
0-100%	Single-Family Detached	MT	Owner	0.43334	0.56666	0	8	18330.6	33	125693
0-100%	Single-Family Detached	MT	Renter	0.258435	0.741565	0	3	4411.84	14	37577.1
100-150%	Single-Family Detached	MT	Not Available	0	0	1	13	21736.2	13	21736.2
100-150%	Single-Family Detached	MT	Owner	0.692334	0.307666	0	10	15438.2	10	15438.2
100-150%	Single-Family Detached	MT	Renter	0.505959	0.494041	0	3	6298.03	17	47979.8
150-200%	Single-Family Detached	MT	Not Available	0	0	1	18	24525.1	18	24525.1
150-200%	Single-Family Detached	MT	Owner	0.487193	0.512807	0	16	21645.5	16	21645.5
150-200%	Single-Family Detached	MT	Renter	0.281118	0.718882	0	2	2879.55	16	34002.7
200-300%	Single-Family Detached	MT	Not Available	0	0	1	38	52476.4	38	52476.4
200-300%	Single-Family Detached	MT	Owner	0.685581	0.314419	0	34	47952.5	34	47952.5
200-300%	Single-Family Detached	MT	Renter	0.136093	0.863907	0	4	4523.88	26	61874.7
300-400%	Single-Family Detached	MT	Not Available	0	0	1	35	49157.2	35	49157.2
300-400%	Single-Family Detached	MT	Owner	0.655962	0.344038	0	29	38536.9	29	38536.9
300-400%	Single-Family Detached	MT	Renter	0.424804	0.575196	0	6	10620.3	23	47652.9
400%+	Single-Family Detached	MT	Not Available	0	0	1	64	117242	64	117242
400%+	Single-Family Detached	MT	Owner	0.739519	0.260481	0	58	109129	58	109129
400%+	Single-Family Detached	MT	Renter	0.267703	0.732297	0	6	8113.33	32	96037.4
Not Available	Single-Family Detached	MT	Not Available	0.650341	0.349659	0	122	287880	122	287880
Not Available	Single-Family Detached	MT	Owner	0	0	1	107	251033	107	251033
Not Available	Single-Family Detached	MT	Renter	0	0	1	15	36846.9	15	36846.9
0-100%	Single-Family Detached	NC	Not Available	0	0	1	19	162702	19	162702
0-100%	Single-Family Detached	NC	Owner	0.486564	0.513436	0	12	93864.9	12	93864.9
0-100%	Single-Family Detached	NC	Renter	0.420218	0.579782	0	7	68837.1	45	356674
100-150%	Single-Family Detached	NC	Not Available	0	0	1	30	193737	30	193737
100-150%	Single-Family Detached	NC	Owner	0.276048	0.723952	0	25	166911	25	166911
100-150%	Single-Family Detached	NC	Renter	0.430554	0.569446	0	5	26826.2	34	214688
150-200%	Single-Family Detached	NC	Not Available	0	0	1	45	261727	45	261727
150-200%	Single-Family Detached	NC	Owner	0.293146	0.706854	0	37	221659	37	221659
150-200%	Single-Family Detached	NC	Renter	0.336875	0.663125	0	8	40068.3	43	221563
200-300%	Single-Family Detached	NC	Not Available	0	0	1	102	459767	102	459767
200-300%	Single-Family Detached	NC	Owner	0.478236	0.521764	0	86	378966	86	378966
200-300%	Single-Family Detached	NC	Renter	0.32283	0.67717	0	16	80800.8	16	80800.8
300-400%	Single-Family Detached	NC	Not Available	0	0	1	89	422173	89	422173
300-400%	Single-Family Detached	NC	Owner	0.382589	0.617411	0	80	375140	80	375140
300-400%	Single-Family Detached	NC	Renter	0.366226	0.633774	0	9	47033	40	200915
400%+	Single-Family Detached	NC	Not Available	0	0	1	182	1.16411e+06	182	1.16411e+06
400%+	Single-Family Detached	NC	Owner	0.344986	0.655014	0	171	1.09381e+06	171	1.09381e+06
400%+	Single-Family Detached	NC	Renter	0.478282	0.521718	0	11	70302	11	70302
Not Available	Single-Family Detached	NC	Not Available	0.372319	0.627681	0	333	2.66422e+06	333	2.66422e+06
Not Available	Single-Family Detached	NC	Owner	0	0	1	295	2.33035e+06	295	2.33035e+06
Not Available	Single-Family Detached	NC	Renter	0	0	1	38	333868	38	333868
0-100%	Single-Family Detached	ND	Not Available	0	0	1	14	10851.6	14	10851.6
0-100%	Single-Family Detached	ND	Owner	0.800988	0.199012	0	12	9716.51	12	9716.51
0-100%	Single-Family Detached	ND	Renter	0.214057	0.785943	0	2	1135.05	23	138796
100-150%	Single-Family Detached	ND	Not Available	0	0	1	12	7186.68	12	7186.68
100-150%	Single-Family Detached	ND	Owner	0.707717	0.292283	0	9	5295.48	85	239231
100-150%	Single-Family Detached	ND	Renter	0.591788	0.408212	0	3	1891.19	19	67403.3
150-200%	Single-Family Detached	ND	Not Available	0	0	1	18	7902.63	18	7902.63
150-200%	Single-Family Detached	ND	Owner	0.903786	0.0962137	0	15	6692.64	15	6692.64
150-200%	Single-Family Detached	ND	Renter	0.500407	0.499593	0	3	1209.99	26	60437.8
200-300%	Single-Family Detached	ND	Not Available	0	0	1	45	25044.2	45	25044.2
200-300%	Single-Family Detached	ND	Owner	0.723067	0.276933	0	43	24418	43	24418
200-300%	Single-Family Detached	ND	Renter	0.604914	0.395086	0	2	626.21	33	117695
300-400%	Single-Family Detached	ND	Not Available	0	0	1	40	20216.2	40	20216.2
300-400%	Single-Family Detached	ND	Owner	0.831887	0.168113	0	39	19421.3	39	19421.3
300-400%	Single-Family Detached	ND	Renter	0.615094	0.384906	0	1	794.945	19	48244.8
400%+	Single-Family Detached	ND	Not Available	0	0	1	133	104688	133	104688
400%+	Single-Family Detached	ND	Owner	0.854017	0.145983	0	131	103191	131	103191
400%+	Single-Family Detached	ND	Renter	0.431134	0.568866	0	2	1497.02	34	133773
Not Available	Single-Family Detached	ND	Not Available	0.831148	0.168852	0	199	175889	199	175889
Not Available	Single-Family Detached	ND	Owner	0	0	1	191	168735	191	168735
Not Available	Single-Family Detached	ND	Renter	0	0	1	8	7154.41	108	566350
0-100%	Single-Family Detached	NE	Not Available	0	0	1	8	26405.1	87	440531
0-100%	Single-Family Detached	NE	Owner	0.58388	0.41612	0	6	18053.9	64	301735
0-100%	Single-Family Detached	NE	Renter	0.214057	0.785943	0	2	8351.16	23	138796
100-150%	Single-Family Detached	NE	Not Available	0	0	1	11	35399	11	35399
100-150%	Single-Family Detached	NE	Owner	0.707717	0.292283	0	9	31687.9	85	239231
100-150%	Single-Family Detached	NE	Renter	0.591788	0.408212	0	2	3711.07	19	67403.3
150-200%	Single-Family Detached	NE	Not Available	0	0	1	15	36036.8	15	36036.8
150-200%	Single-Family Detached	NE	Owner	0.723382	0.276618	0	13	32406.1	13	32406.1
150-200%	Single-Family Detached	NE	Renter	0.500407	0.499593	0	2	3630.76	26	60437.8
200-300%	Single-Family Detached	NE	Not Available	0	0	1	41	81872.7	41	81872.7
200-300%	Single-Family Detached	NE	Owner	0.752249	0.247751	0	37	72041.4	37	72041.4
200-300%	Single-Family Detached	NE	Renter	0.604914	0.395086	0	4	9831.37	33	117695
300-400%	Single-Family Detached	NE	Not Available	0	0	1	40	84323.3	40	84323.3
300-400%	Single-Family Detached	NE	Owner	0.807453	0.192547	0	36	75025.8	36	75025.8
300-400%	Single-Family Detached	NE	Renter	0.615094	0.384906	0	4	9297.48	19	48244.8
400%+	Single-Family Detached	NE	Not Available	0	0	1	83	258875	83	258875
400%+	Single-Family Detached	NE	Owner	0.595124	0.404876	0	77	239668	77	239668
400%+	Single-Family Detached	NE	Renter	0.431134	0.568866	0	6	19207.2	34	133773
Not Available	Single-Family Detached	NE	Not Available	0.660673	0.339327	0	142	522912	142	522912
Not Available	Single-Family Detached	NE	Owner	0	0	1	128	468883	128	468883
Not Available	Single-Family Detached	NE	Renter	0	0	1	14	54029	14	54029
0-100%	Single-Family Detached	NH	Not Available	0	0	1	4	9929.44	38	89976.8
0-100%	Single-Family Detached	NH	Owner	0.399866	0.600134	0	3	6466.69	32	72550.5
0-100%	Single-Family Detached	NH	Renter	0	1	0	1	3462.75	13	33082.6
100-150%	Single-Family Detached	NH	Not Available	0	0	1	5	11691.6	56	115957
100-150%	Single-Family Detached	NH	Owner	0.530482	0.469518	0	5	11691.6	52	109179
100-150%	Single-Family Detached	NH	Renter	0.148754	0.851246	0	0	0	25	33369
150-200%	Single-Family Detached	NH	Not Available	0	0	1	7	18527.2	86	165486
150-200%	Single-Family Detached	NH	Owner	0.474671	0.525329	0	7	18527.2	78	152770
150-200%	Single-Family Detached	NH	Renter	0.00148357	0.998516	0	0	0	11	16228.2
200-300%	Single-Family Detached	NH	Not Available	0	0	1	21	36121.6	21	36121.6
200-300%	Single-Family Detached	NH	Owner	0.605716	0.394284	0	21	36121.6	21	36121.6
200-300%	Single-Family Detached	NH	Renter	0.445085	0.554915	0	0	0	13	24491.8
300-400%	Single-Family Detached	NH	Not Available	0	0	1	21	35419.3	21	35419.3
300-400%	Single-Family Detached	NH	Owner	0.330717	0.669283	0	21	35419.3	21	35419.3
300-400%	Single-Family Detached	NH	Renter	0.356958	0.643042	0	0	0	11	19136.3
400%+	Single-Family Detached	NH	Not Available	0	0	1	86	228936	86	228936
400%+	Single-Family Detached	NH	Owner	0.358322	0.641678	0	83	219405	83	219405
400%+	Single-Family Detached	NH	Renter	0.258507	0.741493	0	3	9531.51	25	74416.7
Not Available	Single-Family Detached	NH	Not Available	0.387495	0.612505	0	115	340625	115	340625
Not Available	Single-Family Detached	NH	Owner	0	0	1	111	327631	111	327631
Not Available	Single-Family Detached	NH	Renter	0	0	1	4	12994.3	48	150105
0-100%	Single-Family Detached	NJ	Not Available	0	0	1	7	45158.9	59	433353
0-100%	Single-Family Detached	NJ	Owner	0.48135	0.51865	0	6	36242	42	294990
0-100%	Single-Family Detached	NJ	Renter	0.374229	0.625771	0	1	8916.97	17	138363
100-150%	Single-Family Detached	NJ	Not Available	0	0	1	17	84748.7	17	84748.7
100-150%	Single-Family Detached	NJ	Owner	0.367227	0.632773	0	14	69848.3	14	69848.3
100-150%	Single-Family Detached	NJ	Renter	0.242511	0.757489	0	3	14900.4	10	45161.1
150-200%	Single-Family Detached	NJ	Not Available	0	0	1	18	68038.9	18	68038.9
150-200%	Single-Family Detached	NJ	Owner	0.255368	0.744632	0	15	47457	15	47457
150-200%	Single-Family Detached	NJ	Renter	0.230988	0.769012	0	3	20581.9	23	105191
200-300%	Single-Family Detached	NJ	Not Available	0	0	1	46	223306	46	223306
200-300%	Single-Family Detached	NJ	Owner	0.348274	0.651726	0	44	219717	44	219717
200-300%	Single-Family Detached	NJ	Renter	0.133392	0.866608	0	2	3588.39	16	56792
300-400%	Single-Family Detached	NJ	Not Available	0	0	1	44	146069	44	146069
300-400%	Single-Family Detached	NJ	Owner	0.101075	0.898925	0	43	142286	43	142286
300-400%	Single-Family Detached	NJ	Renter	0.298312	0.701688	0	1	3783.38	18	89610.5
400%+	Single-Family Detached	NJ	Not Available	0	0	1	209	1.22874e+06	209	1.22874e+06
400%+	Single-Family Detached	NJ	Owner	0.316718	0.683282	0	208	1.22278e+06	208	1.22278e+06
400%+	Single-Family Detached	NJ	Renter	0.216351	0.783649	0	1	5965.27	20	110912
Not Available	Single-Family Detached	NJ	Not Available	0.29769	0.70231	0	277	1.79606e+06	277	1.79606e+06
Not Available	Single-Family Detached	NJ	Owner	0	0	1	270	1.73833e+06	270	1.73833e+06
Not Available	Single-Family Detached	NJ	Renter	0	0	1	7	57736.3	59	487682
0-100%	Single-Family Detached	NM	Not Available	0	0	1	9	38338	40	175992
0-100%	Single-Family Detached	NM	Owner	0.345233	0.654767	0	6	25449.1	27	115133
0-100%	Single-Family Detached	NM	Renter	0.584536	0.415464	0	3	12888.9	13	60859
100-150%	Single-Family Detached	NM	Not Available	0	0	1	13	33870.5	13	33870.5
100-150%	Single-Family Detached	NM	Owner	0.819778	0.180222	0	12	33856.1	12	33856.1
100-150%	Single-Family Detached	NM	Renter	0.411497	0.588503	0	1	14.3437	10	47713.2
150-200%	Single-Family Detached	NM	Not Available	0	0	1	16	54211.5	16	54211.5
150-200%	Single-Family Detached	NM	Owner	0.547034	0.452966	0	14	54031.6	14	54031.6
150-200%	Single-Family Detached	NM	Renter	0.646188	0.353812	0	2	179.887	10	29976.6
200-300%	Single-Family Detached	NM	Not Available	0	0	1	36	67994.9	36	67994.9
200-300%	Single-Family Detached	NM	Owner	0.469011	0.530989	0	31	47388	31	47388
200-300%	Single-Family Detached	NM	Renter	0.287311	0.712689	0	5	20606.9	24	82644.5
300-400%	Single-Family Detached	NM	Not Available	0	0	1	28	86504.6	28	86504.6
300-400%	Single-Family Detached	NM	Owner	0.595616	0.404384	0	27	83023.8	27	83023.8
300-400%	Single-Family Detached	NM	Renter	0.147772	0.852228	0	1	3480.87	13	40635.7
400%+	Single-Family Detached	NM	Not Available	0	0	1	65	230511	65	230511
400%+	Single-Family Detached	NM	Owner	0.524309	0.475691	0	57	201315	57	201315
400%+	Single-Family Detached	NM	Renter	0.357461	0.642539	0	8	29196.2	29	113678
Not Available	Single-Family Detached	NM	Not Available	0.55302	0.44698	0	122	511430	122	511430
Not Available	Single-Family Detached	NM	Owner	0	0	1	107	445063	107	445063
Not Available	Single-Family Detached	NM	Renter	0	0	1	15	66367.1	15	66367.1
0-100%	Single-Family Detached	NV	Not Available	0	0	1	4	17094.5	40	175992
0-100%	Single-Family Detached	NV	Owner	0.345233	0.654767	0	2	3830.42	27	115133
0-100%	Single-Family Detached	NV	Renter	0.584536	0.415464	0	2	13264.1	13	60859
100-150%	Single-Family Detached	NV	Not Available	0	0	1	12	38354.9	12	38354.9
100-150%	Single-Family Detached	NV	Owner	0.207822	0.792178	0	10	29512.1	10	29512.1
100-150%	Single-Family Detached	NV	Renter	0.411497	0.588503	0	2	8842.79	10	47713.2
150-200%	Single-Family Detached	NV	Not Available	0	0	1	18	44320.8	18	44320.8
150-200%	Single-Family Detached	NV	Owner	0.241933	0.758067	0	17	43403.4	17	43403.4
150-200%	Single-Family Detached	NV	Renter	0.646188	0.353812	0	1	917.361	10	29976.6
200-300%	Single-Family Detached	NV	Not Available	0	0	1	47	122601	47	122601
200-300%	Single-Family Detached	NV	Owner	0.126431	0.873569	0	40	103708	40	103708
200-300%	Single-Family Detached	NV	Renter	0.287311	0.712689	0	7	18892.9	24	82644.5
300-400%	Single-Family Detached	NV	Not Available	0	0	1	40	111789	40	111789
300-400%	Single-Family Detached	NV	Owner	0.327861	0.672139	0	36	96810.1	36	96810.1
300-400%	Single-Family Detached	NV	Renter	0.147772	0.852228	0	4	14979.3	13	40635.7
400%+	Single-Family Detached	NV	Not Available	0	0	1	86	319095	86	319095
400%+	Single-Family Detached	NV	Owner	0.354789	0.645211	0	79	291942	79	291942
400%+	Single-Family Detached	NV	Renter	0.357461	0.642539	0	7	27153	29	113678
Not Available	Single-Family Detached	NV	Not Available	0.299225	0.700775	0	147	653255	147	653255
Not Available	Single-Family Detached	NV	Owner	0	0	1	130	569206	130	569206
Not Available	Single-Family Detached	NV	Renter	0	0	1	17	84049.5	17	84049.5
0-100%	Single-Family Detached	NY	Not Available	0	0	1	28	181390	28	181390
0-100%	Single-Family Detached	NY	Owner	0.400405	0.599595	0	20	126419	20	126419
0-100%	Single-Family Detached	NY	Renter	0.374229	0.625771	0	8	54970	17	138363
100-150%	Single-Family Detached	NY	Not Available	0	0	1	32	118486	32	118486
100-150%	Single-Family Detached	NY	Owner	0.350731	0.649269	0	28	100041	28	100041
100-150%	Single-Family Detached	NY	Renter	0.242511	0.757489	0	4	18445.6	10	45161.1
150-200%	Single-Family Detached	NY	Not Available	0	0	1	43	178814	43	178814
150-200%	Single-Family Detached	NY	Owner	0.479415	0.520585	0	42	177008	42	177008
150-200%	Single-Family Detached	NY	Renter	0.230988	0.769012	0	1	1805.84	23	105191
200-300%	Single-Family Detached	NY	Not Available	0	0	1	92	342878	92	342878
200-300%	Single-Family Detached	NY	Owner	0.342147	0.657853	0	88	332148	88	332148
200-300%	Single-Family Detached	NY	Renter	0.133392	0.866608	0	4	10730.6	16	56792
300-400%	Single-Family Detached	NY	Not Available	0	0	1	99	375765	99	375765
300-400%	Single-Family Detached	NY	Owner	0.375131	0.624869	0	93	351699	93	351699
300-400%	Single-Family Detached	NY	Renter	0.298312	0.701688	0	6	24066.3	18	89610.5
400%+	Single-Family Detached	NY	Not Available	0	0	1	313	1.806e+06	313	1.806e+06
400%+	Single-Family Detached	NY	Owner	0.371276	0.628724	0	301	1.72913e+06	301	1.72913e+06
400%+	Single-Family Detached	NY	Renter	0.256529	0.743471	0	12	76868.8	12	76868.8
Not Available	Single-Family Detached	NY	Not Available	0.373561	0.626439	0	461	3.00334e+06	461	3.00334e+06
Not Available	Single-Family Detached	NY	Owner	0	0	1	436	2.81645e+06	436	2.81645e+06
Not Available	Single-Family Detached	NY	Renter	0	0	1	25	186887	25	186887
0-100%	Single-Family Detached	OH	Not Available	0	0	1	20	247886	20	247886
0-100%	Single-Family Detached	OH	Owner	0.659305	0.340695	0	13	141466	13	141466
0-100%	Single-Family Detached	OH	Renter	0.375038	0.624962	0	7	106420	35	343265
100-150%	Single-Family Detached	OH	Not Available	0	0	1	32	345773	32	345773
100-150%	Single-Family Detached	OH	Owner	0.561404	0.438596	0	28	291108	28	291108
100-150%	Single-Family Detached	OH	Renter	0.412976	0.587024	0	4	54665.1	23	169209
150-200%	Single-Family Detached	OH	Not Available	0	0	1	30	255910	30	255910
150-200%	Single-Family Detached	OH	Owner	0.575626	0.424374	0	29	251030	29	251030
150-200%	Single-Family Detached	OH	Renter	0.165003	0.834997	0	1	4879.79	22	117391
200-300%	Single-Family Detached	OH	Not Available	0	0	1	64	528604	64	528604
200-300%	Single-Family Detached	OH	Owner	0.388832	0.611168	0	54	434476	54	434476
200-300%	Single-Family Detached	OH	Renter	0.320556	0.679444	0	10	94128.1	10	94128.1
300-400%	Single-Family Detached	OH	Not Available	0	0	1	47	419180	47	419180
300-400%	Single-Family Detached	OH	Owner	0.492554	0.507446	0	41	368199	41	368199
300-400%	Single-Family Detached	OH	Renter	0.343082	0.656918	0	6	50981	17	96374.3
400%+	Single-Family Detached	OH	Not Available	0	0	1	135	1.55414e+06	135	1.55414e+06
400%+	Single-Family Detached	OH	Owner	0.493398	0.506602	0	132	1.52053e+06	132	1.52053e+06
400%+	Single-Family Detached	OH	Renter	0.422624	0.577376	0	3	33608.8	20	149321
Not Available	Single-Family Detached	OH	Not Available	0.478976	0.521024	0	248	3.35149e+06	248	3.35149e+06
Not Available	Single-Family Detached	OH	Owner	0	0	1	226	3.00681e+06	226	3.00681e+06
Not Available	Single-Family Detached	OH	Renter	0	0	1	22	344683	22	344683
0-100%	Single-Family Detached	OK	Not Available	0	0	1	20	99374	20	99374
0-100%	Single-Family Detached	OK	Owner	0.366602	0.633398	0	16	82370.8	16	82370.8
0-100%	Single-Family Detached	OK	Renter	0.275258	0.724742	0	4	17003.1	40	273169
100-150%	Single-Family Detached	OK	Not Available	0	0	1	29	104728	29	104728
100-150%	Single-Family Detached	OK	Owner	0.847612	0.152388	0	23	78593.1	23	78593.1
100-150%	Single-Family Detached	OK	Renter	0.404907	0.595093	0	6	26134.9	32	145941
150-200%	Single-Family Detached	OK	Not Available	0	0	1	28	103706	28	103706
150-200%	Single-Family Detached	OK	Owner	0.558181	0.441819	0	23	82652.6	23	82652.6
150-200%	Single-Family Detached	OK	Renter	0.365807	0.634193	0	5	21053.4	35	151449
200-300%	Single-Family Detached	OK	Not Available	0	0	1	52	213638	52	213638
200-300%	Single-Family Detached	OK	Owner	0.478349	0.521651	0	43	178556	43	178556
200-300%	Single-Family Detached	OK	Renter	0.339818	0.660182	0	9	35081.7	55	284622
300-400%	Single-Family Detached	OK	Not Available	0	0	1	37	140341	37	140341
300-400%	Single-Family Detached	OK	Owner	0.508351	0.491649	0	31	118266	31	118266
300-400%	Single-Family Detached	OK	Renter	0.372357	0.627643	0	6	22075.8	32	144984
400%+	Single-Family Detached	OK	Not Available	0	0	1	84	425554	84	425554
400%+	Single-Family Detached	OK	Owner	0.483306	0.516694	0	74	373424	74	373424
400%+	Single-Family Detached	OK	Renter	0.264921	0.735079	0	10	52129.3	10	52129.3
Not Available	Single-Family Detached	OK	Not Available	0.474418	0.525582	0	176	1.08734e+06	176	1.08734e+06
Not Available	Single-Family Detached	OK	Owner	0	0	1	149	913863	149	913863
Not Available	Single-Family Detached	OK	Renter	0	0	1	27	173478	27	173478
0-100%	Single-Family Detached	OR	Not Available	0	0	1	17	83026	17	83026
0-100%	Single-Family Detached	OR	Owner	0.492239	0.507761	0	15	71788.5	15	71788.5
0-100%	Single-Family Detached	OR	Renter	0.178356	0.821644	0	2	11237.5	33	297531
100-150%	Single-Family Detached	OR	Not Available	0	0	1	24	90006	24	90006
100-150%	Single-Family Detached	OR	Owner	0.57566	0.42434	0	23	83391.5	23	83391.5
100-150%	Single-Family Detached	OR	Renter	0.200367	0.799633	0	1	6614.52	26	183215
150-200%	Single-Family Detached	OR	Not Available	0	0	1	26	94916.3	26	94916.3
150-200%	Single-Family Detached	OR	Owner	0.546118	0.453882	0	23	80017.1	23	80017.1
150-200%	Single-Family Detached	OR	Renter	0.336749	0.663251	0	3	14899.2	29	174034
200-300%	Single-Family Detached	OR	Not Available	0	0	1	46	126862	46	126862
200-300%	Single-Family Detached	OR	Owner	0.530236	0.469764	0	42	115314	42	115314
200-300%	Single-Family Detached	OR	Renter	0.190253	0.809747	0	4	11548.7	47	275880
